u,v,key,cycleway,cycleway:both,cycleway:left,cycleway:right,cycleway_all
61151272,61151274,0,,,,,[]
61151272,9588223611,0,,,,,[]
61151272,71921695,0,,,,,[]
61151274,61155754,0,,,,,[]
61151274,61151272,0,,,,,[]
61151274,71931371,0,,,,,[]
61155415,71937703,0,,,,,[]
61155415,71930789,0,,,,,[]
61155754,71928147,0,,,,,[]
61155754,61151274,0,,,,,[]
61155754,71954078,0,,,,,[]
61155754,8813914225,0,,,,,[]
61170312,61170313,0,,,,,[]
61170312,1047189373,0,,,,,[]
61170312,61170701,0,,,,,[]
61170313,61170312,0,,,,,[]
61170313,71945932,0,,no,,,[]
61170313,71915977,0,,,,,[]
61170320,1044009810,0,,,,,[]
61170320,61171121,0,,,,lane,[]
61170342,61171841,0,,,lane,track,[]
61170342,61171136,0,lane,lane,,,[]
61170349,61170342,0,,no,,,[]
61170349,61170665,0,,,shared_lane,lane,[]
61170349,61177979,0,,no,,,[]
61170350,6016662421,0,shared_lane,,,,[]
61170350,11140002439,0,,no,,,[]
61170350,6016662422,0,,,no,lane,[]
61170353,61170521,0,,no,,,[]
61170353,5456557574,0,shared_lane,,,,[]
61170355,71937403,0,,,,,[]
61170355,61172574,0,shared_lane,,,,[]
61170355,61170357,0,shared_lane,,,,[]
61170357,61170447,0,shared_lane,,,,[]
61170357,61170363,0,,,,,[]
61170357,61170355,0,shared_lane,,,,[]
61170363,61181929,0,,,lane,track,[]
61170363,11144658251,0,,,lane,track,[]
61170380,12196292156,0,,,,,[]
61170385,61174939,0,,no,,,[]
61170385,5456557579,0,,,,,[]
61170387,61170353,0,,no,,,[]
61170387,61170385,0,,no,,,[]
61170393,71919239,0,,,,,[]
61170393,13123500846,0,,,,,[]
61170395,61171242,0,,no,,,[]
61170395,1816571718,0,,no,,,[]
61170395,71923382,0,,no,,,[]
61170395,6018498737,0,,,,,[]
61170397,61170470,0,,no,,,[]
61170397,71922504,0,,,,,[]
61170397,61170398,0,,no,,,[]
61170398,61171472,0,shared_lane,,,,[]
61170398,61170397,0,,no,,,[]
61170398,61171242,0,,no,,,[]
61170401,4023614189,0,,,separate,track,[]
61170401,61180297,0,,,,,[]
61170401,10026479535,0,,,,,[]
61170420,61174794,0,shared_lane,,,,[]
61170420,61170424,0,shared_lane,,,,[]
61170420,61170444,0,,no,,,[]
61170420,61170470,0,,no,,,[]
61170424,61170560,0,shared_lane,,,,[]
61170424,61170420,0,shared_lane,,,,[]
61170424,61170428,0,,,,,[]
61170428,61170398,0,,,no,lane,[]
61170429,61170430,0,,,no,lane,[]
61170429,61170542,0,,,no,lane,[]
61170430,61170428,0,,,no,lane,[]
61170431,61171443,0,,,,,[]
61170431,71951202,0,,,,,[]
61170432,61170557,0,,no,,,[]
61170432,61170429,0,no,,,,[]
61170432,61181790,0,,,,,[]
61170444,71936530,0,,,,,[]
61170444,71942387,0,,no,,,[]
61170444,61170595,0,,no,,,[]
61170444,61170420,0,,no,,,[]
61170447,61181864,0,shared_lane,,,,[]
61170447,71914714,0,,,,,[]
61170447,61170357,0,shared_lane,,,,[]
61170457,9770274951,0,no,,,,[]
61170457,1080047530,0,,no,,,[]
61170470,61170397,0,,no,,,[]
61170470,71931138,0,,,,,[]
61170470,61170420,0,,no,,,[]
61170474,5456557560,0,no,,,,[]
61170474,71938495,0,,,no,lane,[]
61170514,1080047529,0,,no,,,[]
61170514,61171434,0,,no,,,[]
61170518,7027990656,0,,,,,[]
61170519,11720264050,0,no,,,,[]
61170519,61170474,0,,,no,lane,[]
61170521,3607431041,0,,no,,,[]
61170521,3607431039,0,no,,,,[]
61170531,61170638,0,,,no,lane,[]
61170531,61170533,0,,,no,lane,[]
61170531,61170560,0,,no,lane,shared_lane,[]
61170531,61177968,0,,no,"['lane', 'no']","['lane', 'no']","['lane', 'no', 'lane', 'no']"
61170533,61170542,0,,,no,lane,[]
61170533,61170531,0,,,no,lane,[]
61170533,61178149,0,,,,,[]
61170539,6774655558,0,,,,,[]
61170539,61170553,0,shared_lane,,,,[]
61170539,7991209856,0,shared_lane,,,,[]
61170541,7991209856,0,shared_lane,,,,[]
61170541,71916098,0,,,,,[]
61170541,61170621,0,shared_lane,,,,[]
61170541,7565328608,0,,,,,[]
61170542,61170533,0,,,no,lane,[]
61170542,61170429,0,,,no,lane,[]
61170542,1080047529,0,,no,,,[]
61170544,6769176682,0,,no,,,[]
61170544,6769176675,0,,no,,,[]
61170544,61170546,0,,,,,[]
61170546,61170544,0,,,,,[]
61170553,71951202,0,,,,,[]
61170553,61170554,0,shared_lane,,,,[]
61170553,61170539,0,shared_lane,,,,[]
61170554,71916612,0,shared_lane,,,,[]
61170554,61181864,0,shared_lane,,,,[]
61170554,61170553,0,shared_lane,,,,[]
61170554,71949122,0,,,,,[]
61170557,61170563,0,,no,,,[]
61170557,61170432,0,,no,,,[]
61170557,61178062,0,,no,,,[]
61170560,61170424,0,shared_lane,,,,[]
61170560,61170430,0,,,,,[]
61170562,6769176679,0,,,no,lane,[]
61170562,71924668,0,,,no,track,[]
61170562,6769176675,0,,no,,,[]
61170562,61170595,0,,no,,,[]
61170563,61180373,0,no,,,,[]
61170563,61170557,0,,no,,,[]
61170563,61181794,0,,no,,,[]
61170583,71930075,0,,,,,[]
61170583,1047079607,0,,,,,[]
61170585,71928786,0,,no,,,[]
61170585,7916431996,0,,no,,,[]
61170585,71915280,0,,no,,,[]
61170590,3833661981,0,,,no,shared_lane,[]
61170590,61170583,0,,,,,[]
61170593,61170594,0,,no,,,[]
61170593,71930338,0,,,,,[]
61170593,71916811,0,,,,,[]
61170593,61170660,0,,no,,,[]
61170594,5458392843,0,,no,,,[]
61170594,61170593,0,,no,,,[]
61170595,71946215,0,,no,,,[]
61170595,61170562,0,,no,,,[]
61170595,61170444,0,,no,,,[]
61170596,61170431,0,,,,,[]
61170596,61170597,0,,,,,[]
61170597,7565328608,0,,,,,[]
61170597,71925783,0,,,,,[]
61170597,61170596,0,,,,,[]
61170617,61170618,0,,no,,,[]
61170617,61173631,0,,no,,,[]
61170618,13114191952,0,,no,,,[]
61170618,61170617,0,,no,,,[]
61170621,5238078484,0,shared_lane,,,,[]
61170621,71921834,0,,,,,[]
61170621,61170541,0,shared_lane,,,,[]
61170622,7916431996,0,,no,,,[]
61170622,61173421,0,,no,,,[]
61170622,71922786,0,,no,,,[]
61170625,61170649,0,,,no,lane,[]
61170625,61170638,0,,,no,lane,[]
61170633,61171905,0,,,,,[]
61170633,61171906,0,,,no,"['track', 'separate']","['track', 'separate']"
61170638,61170531,0,,,no,lane,[]
61170638,71931620,0,,no,,,[]
61170638,71931875,0,,no,,,[]
61170638,61170625,0,,,no,lane,[]
61170643,61170799,0,shared_lane,,,,[]
61170643,61170644,0,shared_lane,,,,[]
61170643,12038054043,0,,,,,[]
61170643,1853566393,0,,,,,[]
61170644,1853566393,0,shared_lane,,,,[]
61170644,61170643,0,shared_lane,,,,[]
61170644,12347356436,0,,,,,[]
61170649,71916743,0,,,no,track,[]
61170649,61170625,0,,,no,lane,[]
61170649,601360158,0,,,lane,no,[]
61170657,61170539,0,,,,,[]
61170660,61170593,0,,no,,,[]
61170660,6769176682,0,,no,,,[]
61170665,13038177952,0,,,no,lane,[]
61170665,11353578566,0,,no,,,[]
61170665,61170349,0,,,shared_lane,lane,[]
61170669,61173331,0,,no,,,[]
61170669,61170671,0,,no,,,[]
61170671,61170669,0,,no,,,[]
61170671,12347356446,0,,no,,,[]
61170671,12347356472,0,,,,,[]
61170673,61170676,0,,no,,,[]
61170673,7259913017,0,,no,,,[]
61170673,71916473,0,,,,,[]
61170675,61170691,0,,,,,[]
61170676,61182026,0,,no,,,[]
61170676,61170673,0,,no,,,[]
61170676,71924501,0,,,,,[]
61170691,1692278092,0,,,,,[]
61170701,61181457,0,,,,,[]
61170701,61170312,0,,,,,[]
61170707,12347356444,0,,separate,,,[]
61170707,12347356447,0,,,,,[]
61170707,61170722,0,,,separate,shared_lane,[]
61170707,61179805,0,,,separate,shared_lane,[]
61170722,61170732,0,,,separate,shared_lane,[]
61170722,71953555,0,,,,,[]
61170722,61170707,0,,,separate,shared_lane,[]
61170732,6759243386,0,,,separate,shared_lane,[]
61170732,61170722,0,,,separate,shared_lane,[]
61170732,71919619,0,,no,,,[]
61170738,10197834431,0,,no,,,[]
61170738,8232410522,0,,separate,,,[]
61170738,61179105,0,,separate,,,[]
61170751,6759241479,0,,,separate,shared_lane,[]
61170751,71946138,0,,,,,[]
61170751,8334925206,0,,,separate,shared_lane,[]
61170761,71941962,0,,,,,[]
61170761,61170890,0,,,,,[]
61170761,71931460,0,,,,,[]
61170766,6759243386,0,,,separate,shared_lane,[]
61170766,6759241479,0,,,separate,shared_lane,[]
61170769,71936688,0,,,,,[]
61170769,61171456,0,,,,,[]
61170769,71931460,0,,,,,[]
61170799,61170643,0,shared_lane,,,,[]
61170799,71939042,0,,,,,[]
61170799,5238758027,0,shared_lane,,,,[]
61170802,61170816,0,,,,,[]
61170802,581997776,0,,,,,[]
61170802,71941419,0,,no,,,[]
61170816,61170802,0,,,,,[]
61170835,10197834422,0,,no,,,[]
61170835,61170944,0,,separate,,,[]
61170835,61170837,0,,separate,,,[]
61170837,61170835,0,,separate,,,[]
61170837,61170954,0,,separate,,,[]
61170845,581997776,0,,,,,[]
61170875,270755079,0,,,no,lane,[]
61170875,13287303639,0,,,no,lane,[]
61170875,473486907,0,,no,,,[]
61170882,71946575,0,,,,,[]
61170882,61170948,0,,,,,[]
61170890,61177546,0,,no,,,[]
61170890,71944725,0,,,,,[]
61170890,61178858,0,,,,,[]
61170890,61170761,0,,,,,[]
61170908,7668386999,0,,,,,[]
61170908,61170924,0,,no,,,[]
61170908,61182857,0,,,,,[]
61170908,71944725,0,,,,,[]
61170914,10595510687,0,,,separate,shared_lane,[]
61170914,71917815,0,,,no,track,[]
61170915,61170960,0,,,separate,shared_lane,[]
61170915,10595510687,0,,,separate,shared_lane,[]
61170916,61170931,0,,,lane,track,[]
61170916,61170975,0,,,lane,"['track', 'separate']","['track', 'separate']"
61170924,61170931,0,,,lane,track,[]
61170924,61172687,0,lane,,lane,track,[]
61170931,61170924,0,,,lane,track,[]
61170931,61170916,0,,,lane,track,[]
61170944,485459926,0,,separate,,,[]
61170944,61170835,0,,separate,,,[]
61170944,10197834423,0,,no,,,[]
61170946,71933721,0,,,,,[]
61170946,61170948,0,shared_lane,,,,[]
61170946,2819244374,0,shared_lane,,,,[]
61170948,2547125515,0,,,,,[]
61170948,71927053,0,,,,,[]
61170948,61170946,0,shared_lane,,,,[]
61170954,10197833392,0,,no,,,[]
61170954,61170837,0,,separate,,,[]
61170954,61170957,0,,separate,,,[]
61170956,61170960,0,,,separate,shared_lane,[]
61170956,61179595,0,,no,,,[]
61170956,71939977,0,,,separate,shared_lane,[]
61170957,10197833410,0,,no,,,[]
61170957,61170954,0,,separate,,,[]
61170957,837180306,0,,separate,,,[]
61170960,12347356434,0,,,,,[]
61170960,61170915,0,,,separate,shared_lane,[]
61170960,61170956,0,,,separate,shared_lane,[]
61170975,7672771170,0,,lane,lane,,[]
61170975,5620118033,0,,,,,[]
61170975,61170916,0,,,lane,"['track', 'separate']","['track', 'separate']"
61170986,1028653396,0,,shared_lane,,,[]
61170986,61170988,0,,shared_lane,,,[]
61170986,71916846,0,,,,,[]
61170988,61170986,0,,shared_lane,,,[]
61170988,71915250,0,,,,,[]
61170988,1028653949,0,,shared_lane,"['lane', 'no']","['lane', 'shared_lane']","['lane', 'no', 'lane', 'shared_lane']"
61170994,1956030450,0,,separate,,,[]
61170994,61182293,0,,separate,,,[]
61170995,11777482136,0,,,shared_lane,lane,[]
61170995,61170997,0,,,"['lane', 'shared_lane']","['lane', 'shared_lane']","['lane', 'shared_lane', 'lane', 'shared_lane']"
61170997,10172824236,0,,,no,track,[]
61170997,5458226310,0,,,no,separate,[]
61170997,61172284,0,separate,,,,[]
61170997,61170995,0,,,"['lane', 'shared_lane']","['lane', 'shared_lane']","['lane', 'shared_lane', 'lane', 'shared_lane']"
61170997,10196288575,0,,,,,[]
61170998,5458226310,0,,,share_busway,separate,[]
61170998,5458226314,0,,no,,,[]
61170998,61172303,0,,,share_busway,separate,[]
61171011,61181237,0,shared_lane,,,,[]
61171011,10208436207,0,shared_lane,,,,[]
61171011,71945764,0,shared_lane,,,,[]
61171038,1034870747,0,,lane,,,[]
61171038,1034870844,0,,,,,[]
61171038,1034870842,0,lane,lane,,,[]
61171038,61171042,0,,no,,,[]
61171042,61171064,0,,,,,[]
61171042,71953662,0,,no,,,[]
61171042,61171038,0,,no,,,[]
61171059,4017416289,0,,,no,track,[]
61171059,13123500843,0,lane,,lane,track,[]
61171059,8516034418,0,,,lane,shared_lane,[]
61171064,61171042,0,,,,,[]
61171064,474952109,0,,,,,[]
61171064,1034870978,0,,,,,[]
61171065,61171140,0,,no,,,[]
61171065,61171725,0,,no,,,[]
61171065,71921094,0,,,,,[]
61171075,61171091,0,lane,,,,[]
61171075,61327042,0,lane,,,,[]
61171088,944779030,0,,,,,[]
61171088,1039714849,0,,,no,lane,[]
61171091,9634429766,0,lane,,,,[]
61171091,61171075,0,lane,,,,[]
61171091,71942991,0,,no,,,[]
61171094,1038908172,0,,no,,,[]
61171094,61177577,0,,,no,lane,[]
61171110,10198062365,0,,,,,[]
61171110,1955981229,0,separate,,,,[]
61171110,10198062346,0,separate,,,,[]
61171112,11956148599,0,,shared_lane,,,[]
61171112,11956148613,0,,,no,lane,[]
61171112,61182536,0,,separate,,,[]
61171112,61171192,0,,separate,,,[]
61171113,10198062366,0,,no,,,[]
61171113,1955981241,0,separate,,,,[]
61171113,5067439032,0,separate,,,,[]
61171113,10198062369,0,,,,,[]
61171114,61173796,0,,,no,lane,[]
61171117,5458849687,0,,,,,[]
61171117,61171494,0,,,,,[]
61171117,61171118,0,,,,,[]
61171118,61171117,0,,,,,[]
61171121,71917803,0,,,,,[]
61171121,61171114,0,,,,lane,[]
61171122,61179360,0,,,,lane,[]
61171136,11639753694,0,,no,,,[]
61171136,1841896967,0,,,lane,shared_lane,[]
61171136,61170342,0,lane,lane,,,[]
61171136,5458282494,0,lane,,,,[]
61171138,10174633285,0,,,,,[]
61171138,5456585055,0,,,,,[]
61171138,5456585062,0,,,,,[]
61171138,10174633256,0,track,,,,[]
61171138,10174633281,0,,,,lane,[]
61171139,5853339241,0,,no,,,[]
61171139,11722011013,0,,shared_lane,,,[]
61171140,61171065,0,,no,,,[]
61171140,61179871,0,,,,,[]
61171140,71937075,0,,no,,,[]
61171145,61171170,0,lane,lane,,,[]
61171145,1032773747,0,lane,lane,,,[]
61171145,71950916,0,,no,,,[]
61171170,61171145,0,lane,lane,,,[]
61171170,61175432,0,lane,lane,,,[]
61171192,12972208284,0,,,,,[]
61171192,1032773620,0,,separate,,,[]
61171192,61171112,0,,separate,,,[]
61171205,12306510927,0,separate,,,,[]
61171205,61172392,0,separate,,,,[]
61171206,10197834445,0,,separate,,,[]
61171206,11956148603,0,,,lane,separate,[]
61171206,11956148618,0,,,lane,separate,[]
61171206,1032773682,0,,separate,,,[]
61171207,1577706177,0,track,,,,[]
61171207,10198062389,0,,no,,,[]
61171207,11777326025,0,track,,,,[]
61171208,11882545962,0,,no,,,[]
61171208,61173691,0,separate,separate,,,[]
61171208,1036547654,0,separate,separate,,,[]
61171234,1853566393,0,shared_lane,,,,[]
61171234,7466221099,0,shared_lane,,,,[]
61171234,71951514,0,shared_lane,,,,[]
61171238,5458214525,0,shared_lane,,,,[]
61171238,5458214521,0,shared_lane,,,,[]
61171238,5458214523,0,,,,,[]
61171240,5458214521,0,shared_lane,,,,[]
61171240,61173310,0,shared_lane,,,,[]
61171240,61177514,0,,,,,[]
61171242,61170395,0,,no,,,[]
61171242,61171473,0,,no,,,[]
61171242,61170398,0,,no,,,[]
61171349,61180608,0,,no,,,[]
61171349,71937797,0,,no,,,[]
61171349,61171350,0,,no,,,[]
61171350,61171349,0,,no,,,[]
61171350,61173038,0,,no,,,[]
61171355,61172514,0,,,,,[]
61171355,61171356,0,,,,,[]
61171355,71947029,0,,,,,[]
61171367,4496279836,0,,,,lane,[]
61171367,582013506,0,,,,track,[]
61171367,4496279842,0,,,,,[]
61171375,61173171,0,,no,,,[]
61171375,61171385,0,,no,,,[]
61171375,432805725,0,,,,,[]
61171385,61172838,0,,no,,,[]
61171385,61171375,0,,no,,,[]
61171385,71954277,0,,,,,[]
61171388,944779049,0,,,lane,shared_lane,[]
61171388,71949565,0,,shared_lane,"['lane', 'shared_lane']","['lane', 'shared_lane']","['lane', 'shared_lane', 'lane', 'shared_lane']"
61171388,1028653907,0,,,,,[]
61171434,2313041184,0,,no,,,[]
61171434,61170429,0,,,no,lane,[]
61171434,61170514,0,,no,,,[]
61171443,61170518,0,,,,,[]
61171443,71937967,0,,,,,[]
61171443,71922287,0,,,,,[]
61171446,71937376,0,,,,,[]
61171446,61171886,0,,,,,[]
61171447,61171446,0,,,,,[]
61171454,71938862,0,,,,,[]
61171454,61171456,0,,,,,[]
61171454,71933001,0,,,,,[]
61171456,61171454,0,,,,,[]
61171456,71944327,0,shared_lane,,,,[]
61171456,61170769,0,,,,,[]
61171456,71927163,0,shared_lane,,,,[]
61171460,6897040414,0,,,shared_lane,lane,[]
61171460,11954734214,0,,,shared_lane,lane,[]
61171460,11954734211,0,,,,,[]
61171464,71922786,0,,no,,,[]
61171464,61173299,0,,,lane,no,[]
61171464,71926959,0,,,lane,no,[]
61171472,61173953,0,shared_lane,,,,[]
61171472,61170398,0,shared_lane,,,,[]
61171473,3844102896,0,,,,,[]
61171473,61171242,0,,no,,,[]
61171473,61171472,0,,,,,[]
61171493,61171899,0,,,no,share_busway,[]
61171493,1047189372,0,,,,,[]
61171494,12327818938,0,,,,,[]
61171499,13111232433,0,,,,,[]
61171499,6755879621,0,,,,,[]
61171499,71917463,0,,,,,[]
61171505,5458226294,0,,,,,[]
61171505,61171615,0,,,,,[]
61171512,71952384,0,,no,,,[]
61171512,11101878920,0,,no,,,[]
61171512,1038907941,0,,,,,[]
61171581,71950325,0,,,,,[]
61171581,71934583,0,,,,,[]
61171581,61176225,0,,,,,[]
61171581,940963171,0,,,,,[]
61171593,6755879618,0,,,,,[]
61171593,61171942,0,,,,,[]
61171594,473486904,0,,no,,,[]
61171594,945798754,0,,no,,,[]
61171594,473486906,0,,,,,[]
61171615,5458226298,0,,,separate,lane,[]
61171615,71924880,0,,no,,,[]
61171615,7025623049,0,,,separate,lane,[]
61171682,11228375116,0,,,,,[]
61171682,6870838005,0,,,,,[]
61171698,5175199059,0,,,,,[]
61171698,71936634,0,,,,,[]
61171698,71919313,0,,,,,[]
61171710,1045509022,0,,,,,[]
61171710,1045509055,0,,,,,[]
61171713,1042237031,0,,,,,[]
61171713,61171710,0,,,,,[]
61171723,61171713,0,,,,,[]
61171725,61171065,0,,no,,,[]
61171725,61172248,0,,,,,[]
61171725,71917709,0,,,,,[]
61171764,10121300743,0,,,,,[]
61171764,61176726,0,,,,,[]
61171764,61170590,0,,,no,lane,[]
61171810,7941845820,0,,,,,[]
61171810,7941845808,0,,,,,[]
61171814,61171810,0,,,,,[]
61171814,2372220604,0,,,,,[]
61171814,6292153389,0,,,,,[]
61171834,71922108,0,,,,,[]
61171834,61171841,0,,,"['track', 'lane']",track,"['track', 'lane']"
61171841,71921325,0,,no,,,[]
61171841,61170342,0,,,lane,track,[]
61171841,61171834,0,,,"['lane', 'track']",track,"['lane', 'track']"
61171858,5458854144,0,,no,,,[]
61171858,61180162,0,,no,,,[]
61171868,61171869,0,,no,,,[]
61171868,1044009808,0,,no,,,[]
61171868,61171870,0,,,no,lane,[]
61171869,61171868,0,,no,,,[]
61171869,1692278722,0,,,no,shared_lane,[]
61171869,10224499406,0,,,no,lane,[]
61171870,61173342,0,,,no,lane,[]
61171870,71948841,0,,no,,,[]
61171880,12091186098,0,,,,,[]
61171880,61181091,0,separate,,,,[]
61171880,12091186113,0,separate,,,,[]
61171880,61179840,0,separate,,,,[]
61171886,61172102,0,,,,,[]
61171886,71921689,0,,,,,[]
61171899,61174104,0,,,no,share_busway,[]
61171902,61171899,0,,,,,[]
61171902,4261241461,0,,,,share_busway,[]
61171905,61174140,0,,,no,share_busway,[]
61171906,2546995514,0,,,,,[]
61171906,61171902,0,,,,share_busway,[]
61171919,61170657,0,,,,,[]
61171942,2259526932,0,,,,,[]
61171942,3299611970,0,,,,,[]
61171999,7082052788,0,,,,,[]
61171999,1808416372,0,,,,,[]
61171999,5456486714,0,,,,,[]
61172015,61181237,0,shared_lane,,,,[]
61172015,1047198064,0,shared_lane,,,,[]
61172015,71916168,0,,,,,[]
61172025,61173817,0,,no,,,[]
61172025,71916241,0,,,,,[]
61172030,939265774,0,,,,,[]
61172030,61174835,0,,,,,[]
61172030,71950209,0,,,,,[]
61172035,61172339,0,,no,,,[]
61172035,1079966646,0,,,,,[]
61172035,61178192,0,,no,,,[]
61172044,7025631366,0,,no,,,[]
61172044,71925824,0,,,,,[]
61172067,61172077,0,,no,,,[]
61172067,61172118,0,,no,,,[]
61172067,71918050,0,,,,,[]
61172068,6758773866,0,,no,,,[]
61172068,11192254934,0,,no,,,[]
61172071,61173892,0,,,,,[]
61172077,61172067,0,,no,,,[]
61172077,61172416,0,,no,,,[]
61172077,71950873,0,,,,,[]
61172102,61171919,0,,,,,[]
61172102,7899959308,0,crossing,,,,[]
61172102,71932049,0,crossing,,,,[]
61172108,12177779060,0,,,,,[]
61172108,11092710188,0,,,lane,no,[]
