highway,cycleway,cycleway:both,cycleway:left,cycleway:right,cycleway:buffer,cycleway:separation,cycleway_all,cycleway_type
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
service,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
secondary_link,,,,,,,[],
secondary,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,no,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
service,,,,,,,[],
tertiary,,,,,,,[],
residential,,,,,,,[],
tertiary,,,,,,,[],
tertiary,,,,,,,[],
tertiary,,no,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
service,,,,,,,[],
tertiary,,,,,,,[],
tertiary,,,,,,,[],
tertiary,,no,,,,,[],
tertiary,,no,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
primary,,,,lane,,,['lane'],lane
residential,,,,,,,[],
residential,,,,,,,[],
primary,,,,lane,,,['lane'],lane
residential,,,,,,,[],
primary,,,,lane,,,['lane'],lane
primary,,,lane,track,,,"['lane', 'track']",track
primary,lane,lane,,,,,"['lane', 'lane']",lane
residential,,no,,,,,[],
primary,,,lane,track,,,"['lane', 'track']",track
primary,,,"['track', 'lane']",track,,,"['track', 'lane', 'track']",track
residential,,no,,,,,[],
primary,,,lane,shared_lane,,,"['lane', 'shared_lane']",lane
primary,lane,lane,,,,,"['lane', 'lane']",lane
primary,lane,,,,,,['lane'],lane
tertiary,,no,,,,,[],
secondary,,,shared_lane,lane,,,"['shared_lane', 'lane']",lane
secondary,,no,,,,,[],
secondary,,,no,lane,,,['lane'],lane
residential,,no,,,,,[],
secondary,,,shared_lane,lane,,,"['shared_lane', 'lane']",lane
residential,,no,,,,,[],
secondary,,no,,,,,[],
secondary,,no,,,,,[],
residential,shared_lane,,,,,,['shared_lane'],shared_lane
residential,,no,,,,,[],
secondary,,,no,lane,,,['lane'],lane
residential,shared_lane,,,,,,['shared_lane'],shared_lane
residential,shared_lane,,,,,,['shared_lane'],shared_lane
residential,,no,,,,,[],
service,,,,,,,[],
secondary,,,no,lane,,,['lane'],lane
service,,,,,,,[],
secondary,,no,,,,,[],
residential,shared_lane,,,,,,['shared_lane'],shared_lane
secondary,,no,,,,,[],
secondary,no,,,,,,[],
residential,shared_lane,,,,,,['shared_lane'],shared_lane
residential,shared_lane,,,,,,['shared_lane'],shared_lane
service,,,,,,,[],
residential,,,,,,,[],
